importing dependencies...
importing dependencies...
[2024-01-29 15:43:41,588] importing dependencies...
[2024-01-29 15:44:34,564] done
[2024-01-29 15:44:34,565] loading dataset...
[2024-01-29 15:44:34,642] {'registered pose': 473, 'registered mesh': 427, 'common keys': {'330-1', '448-1', '350-1', '223-1', '94-1', '477-1', '63-1', '220-1', '576-1', '100-1', '420-1', '433-1', '169-1', '277-1', '179-1', '559-1', '157-1', '85-1', '415-1', '398-1', '140-1', '485-1', '288-1', '449-1', '66-1', '217-1', '184-1', '338-1', '123-1', '310-1', '354-1', '89-1', '550-1', '175-1', '154-1', '170-1', '401-1', '145-1', '540-1', '574-1', '14-1', '333-1', '442-1', '458-1', '321-1', '88-1', '585-1', '353-1', '332-1', '326-1', '283-1', '120-1', '240-1', '453-1', '29-1', '335-1', '596-1', '224-1', '176-1', '116-1', '212-1', '33-1', '334-1', '78-1', '146-1', '290-1', '467-1', '317-1', '347-1', '363-1', '382-1', '422-1', '48-1', '156-1', '437-1', '60-1', '261-1', '592-1', '25-1', '471-1', '374-1', '152-1', '464-1', '503-1', '280-1', '594-1', '297-1', '118-1', '364-1', '235-1', '451-1', '424-1', '378-1', '136-1', '583-1', '341-1', '578-1', '402-1', '443-1', '134-1', '287-1', '368-1', '358-1', '465-1', '379-1', '348-1', '355-1', '55-1', '489-1', '226-1', '194-1', '13-1', '543-1', '587-1', '359-1', '320-1', '195-1', '147-1', '127-1', '151-1', '71-1', '416-1', '432-1', '513-1', '301-1', '108-1', '388-1', '454-1', '251-1', '486-1', '509-1', '476-1', '329-1', '500-1', '215-1', '228-1', '303-1', '10-1', '281-1', '319-1', '547-1', '242-1', '516-1', '567-1', '11-1', '138-1', '234-1', '352-1', '36-1', '565-1', '68-1', '202-1', '285-1', '42-1', '99-1', '43-1', '551-1', '129-1', '23-1', '468-1', '135-1', '122-1', '93-1', '268-1', '444-1', '3-1', '450-1', '558-1', '390-1', '327-1', '549-1', '81-1', '45-1', '177-1', '459-1', '183-1', '49-1', '343-1', '406-1', '346-1', '266-1', '316-1', '573-1', '403-1', '405-1', '178-1', '539-1', '494-1', '394-1', '389-1', '58-1', '427-1', '214-1', '304-1', '535-1', '342-1', '518-1', '197-1', '289-1', '294-1', '218-1', '426-1', '79-1', '456-1', '380-1', '302-1', '17-1', '538-1', '473-1', '314-1', '357-1', '113-1', '418-1', '253-1', '46-1', '103-1', '425-1', '155-1', '187-1', '40-1', '360-1', '38-1', '159-1', '166-1', '53-1', '51-1', '483-1', '521-1', '102-1', '497-1', '566-1', '24-1', '83-1', '107-1', '121-1', '284-1', '221-1', '569-1', '246-1', '441-1', '109-1', '440-1', '515-1', '490-1', '491-1', '142-1', '421-1', '225-1', '369-1', '537-1', '552-1', '429-1', '588-1', '216-1', '322-1', '182-1', '428-1', '164-1', '110-1', '165-1', '117-1', '19-1', '392-1', '452-1', '125-1', '480-1', '198-1', '163-1', '64-1', '236-1', '174-1', '400-1', '272-1', '399-1', '484-1', '393-1', '581-1', '1-1', '172-1', '367-1', '447-1', '193-1', '387-1', '18-1', '34-1', '30-1', '351-1', '505-1', '488-1', '457-1', '431-1', '20-1', '434-1', '436-1', '548-1', '499-1', '196-1', '430-1', '311-1', '455-1', '472-1', '599-1', '112-1', '61-1', '65-1', '171-1', '27-1', '80-1', '282-1', '149-1', '203-1', '575-1', '21-1', '90-1', '276-1', '381-1', '595-1', '153-1', '487-1', '404-1', '582-1', '296-1', '114-1', '411-1', '97-1', '39-1', '584-1', '257-1', '529-1', '385-1', '128-1', '590-1', '2-1', '542-1', '504-1', '495-1', '76-1', '26-1', '137-1', '162-1', '35-1', '463-1', '291-1', '119-1', '589-1', '579-1', '207-1', '231-1', '150-1', '568-1', '553-1', '527-1', '105-1', '377-1', '312-1', '546-1', '241-1', '115-1', '373-1', '328-1', '275-1', '295-1', '307-1', '412-1', '305-1', '438-1', '435-1', '597-1', '376-1', '324-1', '375-1', '362-1', '318-1', '230-1', '250-1', '299-1', '507-1', '520-1', '414-1', '340-1', '91-1', '514-1', '141-1', '408-1', '462-1', '481-1', '67-1', '396-1', '417-1', '419-1', '522-1', '168-1', '254-1', '423-1', '591-1', '84-1', '189-1', '278-1', '62-1', '161-1', '571-1', '479-1', '469-1', '586-1', '460-1', '249-1', '160-1', '86-1', '232-1', '16-1', '167-1', '133-1', '148-1', '262-1', '92-1', '47-1', '345-1', '564-1', '308-1', '577-1', '222-1', '413-1', '475-1', '298-1', '186-1', '386-1', '502-1'}, 'extra pose': {'395-1', '474-1', '323-1', '237-1', '446-1', '410-1', '407-1', '344-1', '28-1', '365-1', '315-1', '563-1', '570-1', '409-1', '191-1', '243-1', '106-1', '339-1', '70-1', '371-1', '541-1', '32-1', '445-1', '188-1', '52-1', '244-1', '361-1', '9-1', '111-1', '555-1', '31-1', '233-1', '528-1', '201-1', '124-1', '560-1', '205-1', '22-1', '229-1', '532-1', '519-1', '130-1', '556-1', '366-1', '74-1', '306-1'}, 'extra mesh': set()}
[2024-01-29 15:44:34,643] done
[2024-01-29 15:44:34,643] training model...
[2024-01-29 15:48:06,360] epoch 1: loss: 1.3458382771393964
[2024-01-29 15:49:13,890] epoch 2: loss: 1.308928472973476
[2024-01-29 15:50:17,457] epoch 3: loss: 1.3066407508939226
[2024-01-29 15:51:20,826] epoch 4: loss: 1.3061331198594281
[2024-01-29 15:52:24,497] epoch 5: loss: 1.3058565977577852
